PRECINCT,Date,Race,totvote,DEM_Turnout,REP_Turnout,NPA_Turnout,Other_party_Turnout,White_Turnout,Black_Turnout,Hispanic_Turnout,Other_race_Turnout,Male_Turnout,Female_Turnout,Unkwn_Turnout,pct_white,pct_black,pct_non_bw,DEM_candidate_votes,REP_candidate_votes,OTHER_candidate_votes,Total_contest_votes,pct_dem,pct_rep,D-R_vote_pct,D-R_vote,District
110,11/4/2014,Governor,1220,381,686,108,45,1049,85,22,64,562,647,11,0.859836066,0.069672131,0.070491803,358,791,60,1209,0.29611249,0.654259719,-0.358147229,-433,1
111,11/4/2014,Governor,1578,569,798,169,42,1180,309,25,64,717,851,10,0.747782003,0.19581749,0.056400507,549,954,67,1570,0.349681529,0.607643312,-0.257961783,-405,1
112,11/4/2014,Governor,671,318,232,100,21,373,240,20,38,285,371,15,0.555886736,0.357675112,0.086438152,338,284,37,659,0.512898331,0.430955994,0.081942337,54,1
113,11/4/2014,Governor,2649,1141,1100,334,74,1590,805,99,155,1127,1479,43,0.600226501,0.30388826,0.09588524,1200,1317,117,2634,0.455580866,0.5,-0.044419134,-117,1
114,11/4/2014,Governor,744,402,203,111,28,366,321,14,43,292,431,21,0.491935484,0.431451613,0.076612903,390,283,60,733,0.532060027,0.386084584,0.145975443,107,1
201,11/4/2014,Governor,1787,509,1012,214,52,1407,256,45,79,871,893,23,0.787353106,0.143256855,0.069390039,486,1207,74,1767,0.275042445,0.683078664,-0.40803622,-721,2
202,11/4/2014,Governor,2297,650,1202,357,88,1604,381,86,226,1111,1150,36,0.698302133,0.165868524,0.135829343,687,1484,107,2278,0.301580334,0.651448639,-0.349868306,-797,2
203,11/4/2014,Governor,1951,803,863,223,62,1266,536,51,98,891,1040,20,0.648898001,0.274730907,0.076371092,780,1046,100,1926,0.404984424,0.543094496,-0.138110073,-266,2
204,11/4/2014,Governor,1174,392,646,101,35,1021,96,17,40,541,617,16,0.86967632,0.081771721,0.048551959,275,838,55,1168,0.235445205,0.717465753,-0.482020548,-563,2
205,11/4/2014,Governor,3220,1129,1632,369,90,2343,627,92,158,1482,1698,40,0.727639752,0.194720497,0.077639752,983,2075,140,3198,0.307379612,0.648843027,-0.341463415,-1092,2
206,11/4/2014,Governor,2799,622,1836,271,70,2477,169,57,96,1354,1426,19,0.884958914,0.060378707,0.054662379,611,2071,102,2784,0.219468391,0.743893678,-0.524425287,-1460,2
207,11/4/2014,Governor,2537,886,1235,354,62,1801,497,85,154,1132,1376,29,0.709893575,0.19590067,0.094205755,909,1485,124,2518,0.361000794,0.589753773,-0.228752979,-576,2
208,11/4/2014,Governor,1345,285,891,130,39,1212,80,12,41,675,656,14,0.901115242,0.059479554,0.039405204,233,1059,48,1340,0.173880597,0.790298507,-0.61641791,-826,2
209,11/4/2014,Governor,1507,346,924,188,49,1319,85,31,72,736,755,16,0.875248839,0.056403451,0.068347711,330,1094,65,1489,0.221625252,0.734721289,-0.513096038,-764,2
210,11/4/2014,Governor,220,61,133,16,10,211,0,3,6,114,104,2,0.959090909,0,0.040909091,47,161,10,218,0.21559633,0.73853211,-0.52293578,-114,2
211,11/4/2014,Governor,2080,656,1085,274,65,1458,455,60,107,973,1080,27,0.700961538,0.21875,0.080288462,621,1359,88,2068,0.300290135,0.657156673,-0.356866538,-738,2
212,11/4/2014,Governor,382,80,240,53,9,371,2,1,8,194,184,4,0.971204188,0.005235602,0.023560209,71,292,15,378,0.187830688,0.772486772,-0.584656085,-221,2
213,11/4/2014,Governor,887,210,585,80,12,696,129,16,46,441,441,5,0.784667418,0.145434047,0.069898534,225,635,25,885,0.254237288,0.717514124,-0.463276836,-410,2
301,11/4/2014,Governor,1238,189,865,147,37,1080,68,22,68,613,612,13,0.872374798,0.054927302,0.0726979,254,964,18,1236,0.205501618,0.779935275,-0.574433657,-710,3
302,11/4/2014,Governor,1103,322,544,185,52,832,128,52,91,528,557,18,0.754306437,0.116047144,0.129646419,334,692,68,1094,0.305301645,0.632541133,-0.327239488,-358,3
303,11/4/2014,Governor,1794,394,1096,251,53,1549,81,48,116,844,919,31,0.863433668,0.045150502,0.091415831,473,1216,86,1775,0.266478873,0.685070423,-0.418591549,-743,3
304,11/4/2014,Governor,1321,197,878,202,44,1194,40,18,69,642,667,12,0.903860712,0.030280091,0.065859198,247,1032,24,1303,0.189562548,0.792018419,-0.602455871,-785,3
305,11/4/2014,Governor,2532,615,1379,419,119,2112,161,94,165,1185,1304,43,0.834123223,0.063586098,0.102290679,778,1627,106,2511,0.309836718,0.647949024,-0.338112306,-849,3
306,11/4/2014,Governor,1535,518,644,315,58,886,316,107,226,718,792,25,0.577198697,0.205863192,0.216938111,620,808,82,1510,0.410596026,0.535099338,-0.124503311,-188,3
307,11/4/2014,Governor,981,275,460,195,51,777,100,46,58,453,513,15,0.79204893,0.101936799,0.106014271,338,567,63,968,0.349173554,0.585743802,-0.236570248,-229,3
308,11/4/2014,Governor,1008,213,599,157,39,862,60,27,59,480,513,15,0.85515873,0.05952381,0.08531746,257,686,50,993,0.258811682,0.690835851,-0.432024169,-429,3
309,11/4/2014,Governor,1370,414,687,216,53,977,196,67,130,621,735,14,0.713138686,0.143065693,0.14379562,455,848,59,1362,0.334067548,0.622613803,-0.288546256,-393,3
310,11/4/2014,Governor,1290,247,827,167,49,1170,36,29,55,570,711,9,0.906976744,0.027906977,0.065116279,308,915,47,1270,0.242519685,0.720472441,-0.477952756,-607,3
311,11/4/2014,Governor,1272,280,801,158,33,1135,48,25,64,620,635,17,0.892295597,0.037735849,0.069968553,301,906,54,1261,0.238699445,0.718477399,-0.479777954,-605,3
312,11/4/2014,Governor,2729,639,1497,477,116,2160,219,99,251,1297,1382,50,0.791498717,0.080249176,0.128252107,817,1766,130,2713,0.301142647,0.650939919,-0.349797272,-949,3
313,11/4/2014,Governor,2029,648,985,337,59,1299,384,104,242,965,1033,31,0.640216856,0.189255791,0.170527353,748,1177,91,2016,0.371031746,0.583829365,-0.212797619,-429,3
315,11/4/2014,Governor,820,241,407,149,23,577,141,38,64,390,410,20,0.703658537,0.17195122,0.124390244,262,495,56,813,0.322263223,0.608856089,-0.286592866,-233,3
401,11/4/2014,Governor,696,251,373,58,14,581,79,9,27,308,376,12,0.834770115,0.113505747,0.051724138,213,454,25,692,0.307803468,0.656069364,-0.348265896,-241,4
402,11/4/2014,Governor,1586,673,626,233,54,1011,361,73,141,689,875,22,0.637452711,0.227616646,0.134930643,631,837,102,1570,0.401910828,0.533121019,-0.131210191,-206,4
